game_id,date,year,home_team,home_abbr,away_team,away_abbr,home_score,away_score,home_win,winning_team,losing_team,home_pitcher,away_pitcher,venue
663178,2022-04-07,2022,Chicago Cubs,112,Milwaukee Brewers,158,5,4,1,Chicago Cubs,Milwaukee Brewers,Kyle Hendricks,Corbin Burnes,Wrigley Field
662766,2022-04-07,2022,Kansas City Royals,118,Cleveland Guardians,114,3,1,1,Kansas City Royals,Cleveland Guardians,Zack Greinke,Shane Bieber,Kauffman Stadium
662021,2022-04-07,2022,St. Louis Cardinals,138,Pittsburgh Pirates,134,9,0,1,St. Louis Cardinals,Pittsburgh Pirates,Adam Wainwright,JT Brubaker,Busch Stadium
662571,2022-04-07,2022,Washington Nationals,120,New York Mets,121,1,5,0,New York Mets,Washington Nationals,Patrick Corbin,Tylor Megill,Nationals Park
661577,2022-04-07,2022,Atlanta Braves,144,Cincinnati Reds,113,3,6,0,Cincinnati Reds,Atlanta Braves,Max Fried,Tyler Mahle,Truist Park
661042,2022-04-07,2022,Los Angeles Angels,108,Houston Astros,117,1,3,0,Houston Astros,Los Angeles Angels,Shohei Ohtani,Framber Valdez,Angel Stadium
663418,2022-04-07,2022,Arizona Diamondbacks,109,San Diego Padres,135,4,2,1,Arizona Diamondbacks,San Diego Padres,Madison Bumgarner,Yu Darvish,Chase Field
661333,2022-04-08,2022,New York Yankees,147,Boston Red Sox,111,6,5,1,New York Yankees,Boston Red Sox,Gerrit Cole,Nathan Eovaldi,Yankee Stadium
662888,2022-04-08,2022,Detroit Tigers,116,Chicago White Sox,145,5,4,1,Detroit Tigers,Chicago White Sox,Eduardo Rodriguez,Lucas Giolito,Comerica Park
661131,2022-04-08,2022,Philadelphia Phillies,143,Oakland Athletics,133,9,5,1,Philadelphia Phillies,Oakland Athletics,Aaron Nola,Frankie Montas,Citizens Bank Park
661918,2022-04-08,2022,Tampa Bay Rays,139,Baltimore Orioles,110,2,1,1,Tampa Bay Rays,Baltimore Orioles,Shane McClanahan,John Means,Tropicana Field
662933,2022-04-08,2022,Colorado Rockies,115,Los Angeles Dodgers,119,3,5,0,Los Angeles Dodgers,Colorado Rockies,Kyle Freeland,Walker Buehler,Coors Field
661750,2022-04-08,2022,Minnesota Twins,142,Seattle Mariners,136,1,2,0,Seattle Mariners,Minnesota Twins,Joe Ryan,Robbie Ray,Target Field
662124,2022-04-08,2022,San Francisco Giants,137,Miami Marlins,146,6,5,1,San Francisco Giants,Miami Marlins,Logan Webb,Sandy Alcantara,Oracle Park
662559,2022-04-08,2022,Washington Nationals,120,New York Mets,121,3,7,0,New York Mets,Washington Nationals,Josiah Gray,Max Scherzer,Nationals Park
661782,2022-04-08,2022,Toronto Blue Jays,141,Texas Rangers,140,10,8,1,Toronto Blue Jays,Texas Rangers,José Berríos,Jon Gray,Rogers Centre
661576,2022-04-08,2022,Atlanta Braves,144,Cincinnati Reds,113,7,6,1,Atlanta Braves,Cincinnati Reds,Charlie Morton,Reiver Sanmartin,Truist Park
661041,2022-04-08,2022,Los Angeles Angels,108,Houston Astros,117,6,13,0,Houston Astros,Los Angeles Angels,Reid Detmers,Jake Odorizzi,Angel Stadium
663417,2022-04-08,2022,Arizona Diamondbacks,109,San Diego Padres,135,0,3,0,San Diego Padres,Arizona Diamondbacks,Merrill Kelly,Sean Manaea,Chase Field
661917,2022-04-09,2022,Tampa Bay Rays,139,Baltimore Orioles,110,5,3,1,Tampa Bay Rays,Baltimore Orioles,Drew Rasmussen,Jordan Lyles,Tropicana Field
662864,2022-04-09,2022,Detroit Tigers,116,Chicago White Sox,145,2,5,0,Chicago White Sox,Detroit Tigers,Casey Mize,Dylan Cease,Comerica Park
661756,2022-04-09,2022,Minnesota Twins,142,Seattle Mariners,136,3,4,0,Seattle Mariners,Minnesota Twins,Sonny Gray,Logan Gilbert,Target Field
662020,2022-04-09,2022,St. Louis Cardinals,138,Pittsburgh Pirates,134,6,2,1,St. Louis Cardinals,Pittsburgh Pirates,Miles Mikolas,Mitch Keller,Busch Stadium
663205,2022-04-09,2022,Chicago Cubs,112,Milwaukee Brewers,158,9,0,1,Chicago Cubs,Milwaukee Brewers,Justin Steele,Brandon Woodruff,Wrigley Field
661803,2022-04-09,2022,Toronto Blue Jays,141,Texas Rangers,140,4,3,1,Toronto Blue Jays,Texas Rangers,Kevin Gausman,Dane Dunning,Rogers Centre
661130,2022-04-09,2022,Philadelphia Phillies,143,Oakland Athletics,133,4,2,1,Philadelphia Phillies,Oakland Athletics,Kyle Gibson,Cole Irvin,Citizens Bank Park
662123,2022-04-09,2022,San Francisco Giants,137,Miami Marlins,146,1,2,0,Miami Marlins,San Francisco Giants,Carlos Rodón,Pablo López,Oracle Park
661332,2022-04-09,2022,New York Yankees,147,Boston Red Sox,111,4,2,1,New York Yankees,Boston Red Sox,Luis Severino,Nick Pivetta,Yankee Stadium
662765,2022-04-09,2022,Kansas City Royals,118,Cleveland Guardians,114,1,0,1,Kansas City Royals,Cleveland Guardians,Brad Keller,Zach Plesac,Kauffman Stadium
662588,2022-04-09,2022,Washington Nationals,120,New York Mets,121,0,5,0,New York Mets,Washington Nationals,Joan Adon,Chris Bassitt,Nationals Park
661575,2022-04-09,2022,Atlanta Braves,144,Cincinnati Reds,113,2,1,1,Atlanta Braves,Cincinnati Reds,Kyle Wright,Vladimir Gutierrez,Truist Park
662931,2022-04-09,2022,Colorado Rockies,115,Los Angeles Dodgers,119,3,2,1,Colorado Rockies,Los Angeles Dodgers,Germán Márquez,Tony Gonsolin,Coors Field
663404,2022-04-09,2022,Arizona Diamondbacks,109,San Diego Padres,135,2,5,0,San Diego Padres,Arizona Diamondbacks,Zach Davies,Joe Musgrove,Chase Field
661040,2022-04-09,2022,Los Angeles Angels,108,Houston Astros,117,2,0,1,Los Angeles Angels,Houston Astros,Noah Syndergaard,Justin Verlander,Angel Stadium
661129,2022-04-10,2022,Philadelphia Phillies,143,Oakland Athletics,133,1,4,0,Oakland Athletics,Philadelphia Phillies,Zach Eflin,Daulton Jefferies,Citizens Bank Park
661916,2022-04-10,2022,Tampa Bay Rays,139,Baltimore Orioles,110,8,0,1,Tampa Bay Rays,Baltimore Orioles,Corey Kluber,Tyler Wells,Tropicana Field
662887,2022-04-10,2022,Detroit Tigers,116,Chicago White Sox,145,1,10,0,Chicago White Sox,Detroit Tigers,Tarik Skubal,Michael Kopech,Comerica Park
662570,2022-04-10,2022,Washington Nationals,120,New York Mets,121,4,2,1,Washington Nationals,New York Mets,Erick Fedde,Carlos Carrasco,Nationals Park
661573,2022-04-10,2022,Atlanta Braves,144,Cincinnati Reds,113,3,6,0,Cincinnati Reds,Atlanta Braves,Ian Anderson,Hunter Greene,Truist Park
661802,2022-04-10,2022,Toronto Blue Jays,141,Texas Rangers,140,6,12,0,Texas Rangers,Toronto Blue Jays,Hyun Jin Ryu,Spencer Howard,Rogers Centre
662755,2022-04-10,2022,Kansas City Royals,118,Cleveland Guardians,114,3,17,0,Cleveland Guardians,Kansas City Royals,Kris Bubic,Cal Quantrill,Kauffman Stadium
661738,2022-04-10,2022,Minnesota Twins,142,Seattle Mariners,136,10,4,1,Minnesota Twins,Seattle Mariners,Bailey Ober,Marco Gonzales,Target Field
662019,2022-04-10,2022,St. Louis Cardinals,138,Pittsburgh Pirates,134,4,9,0,Pittsburgh Pirates,St. Louis Cardinals,Steven Matz,Bryse Wilson,Busch Stadium
663204,2022-04-10,2022,Chicago Cubs,112,Milwaukee Brewers,158,4,5,0,Milwaukee Brewers,Chicago Cubs,Marcus Stroman,Freddy Peralta,Wrigley Field
662934,2022-04-10,2022,Colorado Rockies,115,Los Angeles Dodgers,119,9,4,1,Colorado Rockies,Los Angeles Dodgers,Antonio Senzatela,Julio Urías,Coors Field
662122,2022-04-10,2022,San Francisco Giants,137,Miami Marlins,146,3,2,1,San Francisco Giants,Miami Marlins,Anthony DeSclafani,Trevor Rogers,Oracle Park
661039,2022-04-10,2022,Los Angeles Angels,108,Houston Astros,117,1,4,0,Houston Astros,Los Angeles Angels,José Suarez,José Urquidy,Angel Stadium
663395,2022-04-10,2022,Arizona Diamondbacks,109,San Diego Padres,135,5,10,0,San Diego Padres,Arizona Diamondbacks,Caleb Smith,Blake Snell,Chase Field
661316,2022-04-10,2022,New York Yankees,147,Boston Red Sox,111,3,4,0,Boston Red Sox,New York Yankees,Jordan Montgomery,Tanner Houck,Yankee Stadium
662754,2022-04-11,2022,Kansas City Royals,118,Cleveland Guardians,114,7,10,0,Cleveland Guardians,Kansas City Royals,Carlos Hernández,Aaron Civale,Kauffman Stadium
663403,2022-04-11,2022,Baltimore Orioles,110,Milwaukee Brewers,158,2,0,1,Baltimore Orioles,Milwaukee Brewers,Bruce Zimmermann,Adrian Houser,Oriole Park at Camden Yards
