player_id,name,team_name,year,games,games_started,innings,wins,losses,ERA,WHIP,strikeouts,walks,hits_allowed,home_runs_allowed,K_per_9,BB_per_9,K_per_game,avg_innings_per_start
621112,Paul Blackburn,Oakland Athletics,2023,21,20,103.2,4,7,4.43,1.54,104,43,117,11,9.03,3.73,5.2,5.16
660261,Shintaro Fujinami,Oakland Athletics,2023,34,7,49.1,5,8,8.57,1.66,51,30,52,6,9.3,5.47,7.285714285714286,7.014285714285714
663687,Hogan Harris,Oakland Athletics,2023,14,6,63.0,3,6,7.14,1.51,56,28,67,10,8.0,4.0,9.333333333333334,10.5
621076,James Kaprielian,Oakland Athletics,2023,14,11,61.0,2,6,6.34,1.59,57,31,66,9,8.41,4.57,5.181818181818182,5.545454545454546
665622,Luis Medina,Oakland Athletics,2023,23,17,109.2,3,10,5.42,1.51,106,57,109,14,8.7,4.68,6.235294117647059,6.423529411764706
695243,Mason Miller,Oakland Athletics,2023,10,6,33.1,0,3,3.78,1.2,38,16,24,2,10.26,4.32,6.333333333333333,5.516666666666667
666205,Kyle Muller,Oakland Athletics,2023,21,13,77.0,1,5,7.6,1.96,56,39,112,16,6.55,4.56,4.3076923076923075,5.923076923076923
643493,Austin Pruitt,Oakland Athletics,2023,38,6,48.1,2,6,2.98,1.16,30,12,44,5,5.59,2.23,5.0,8.016666666666667
676664,JP Sears,Oakland Athletics,2023,32,32,172.1,5,14,4.54,1.26,161,53,165,34,8.41,2.77,5.03125,5.378125
674370,Osvaldo Bido,Pittsburgh Pirates,2023,16,9,50.2,2,5,5.86,1.5,48,21,55,4,8.53,3.73,5.333333333333333,5.577777777777778
672710,Roansy Contreras,Pittsburgh Pirates,2023,19,11,68.1,3,7,6.59,1.57,55,32,75,11,7.24,4.21,5.0,6.1909090909090905
663559,Bailey Falter,Pittsburgh Pirates,2023,8,7,40.1,0,7,5.13,1.44,28,8,50,7,6.25,1.79,4.0,5.728571428571429
448179,Rich Hill,Pittsburgh Pirates,2023,22,22,119.0,7,10,4.76,1.48,104,47,129,15,7.87,3.55,4.7272727272727275,5.409090909090909
656578,Andre Jackson,Pittsburgh Pirates,2023,12,7,43.2,1,3,4.33,1.12,41,19,30,6,8.45,3.92,5.857142857142857,6.171428571428572
656605,Mitch Keller,Pittsburgh Pirates,2023,32,32,194.1,13,9,4.21,1.25,210,55,187,25,9.73,2.55,6.5625,6.065625
682847,Luis Ortiz,Pittsburgh Pirates,2023,18,15,86.2,5,5,4.78,1.7,59,48,99,13,6.13,4.98,3.933333333333333,5.746666666666667
670912,Johan Oviedo,Pittsburgh Pirates,2023,32,32,177.2,9,14,4.31,1.37,158,83,161,19,8.0,4.2,4.9375,5.5375
682990,Quinn Priester,Pittsburgh Pirates,2023,10,8,50.0,3,3,7.74,1.7,36,27,58,12,6.48,4.86,4.5,6.25
681882,Colin Selby,Pittsburgh Pirates,2023,21,5,24.0,2,2,9.0,1.83,30,15,29,4,11.25,5.63,6.0,4.8
592826,Vince Velasquez,Pittsburgh Pirates,2023,8,8,37.1,4,4,3.86,1.31,37,14,35,4,8.92,3.38,4.625,4.6375
658648,Pedro Avila,San Diego Padres,2023,14,6,50.1,2,2,3.22,1.35,54,25,43,3,9.66,4.47,9.0,8.35
506433,Yu Darvish,San Diego Padres,2023,24,24,136.1,8,10,4.56,1.3,141,43,134,18,9.31,2.84,5.875,5.670833333333333
607625,Seth Lugo,San Diego Padres,2023,26,26,146.1,8,7,3.57,1.2,140,36,140,19,8.61,2.21,5.384615384615385,5.619230769230769
607259,Nick Martinez,San Diego Padres,2023,63,9,110.1,6,4,3.43,1.26,106,40,99,12,8.65,3.26,11.777777777777779,12.233333333333333
605397,Joe Musgrove,San Diego Padres,2023,17,17,97.1,10,3,3.05,1.14,97,21,90,10,8.97,1.94,5.705882352941177,5.711764705882352
605483,Blake Snell,San Diego Padres,2023,32,32,180.0,14,9,2.25,1.19,234,99,115,15,11.7,4.95,7.3125,5.625
608379,Michael Wacha,San Diego Padres,2023,24,24,134.1,14,4,3.22,1.16,124,43,113,15,8.31,2.88,5.166666666666667,5.5874999999999995
663362,Matt Waldron,San Diego Padres,2023,8,6,41.1,1,3,4.35,1.23,31,12,39,9,6.75,2.61,5.166666666666667,6.8500000000000005
677960,Ryan Weathers,San Diego Padres,2023,12,10,44.2,1,6,6.25,1.61,29,17,55,9,5.84,3.43,2.9,4.42
622491,Luis Castillo,Seattle Mariners,2023,33,33,197.0,14,9,3.34,1.1,219,56,160,28,10.01,2.56,6.636363636363637,5.96969696969697
623167,Chris Flexen,Seattle Mariners,2023,12,12,60.1,2,4,6.27,1.54,45,19,74,14,6.71,2.83,3.75,5.008333333333334
669302,Logan Gilbert,Seattle Mariners,2023,32,32,190.2,13,7,3.73,1.08,189,36,169,29,8.92,1.7,5.90625,5.94375
594835,Marco Gonzales,Seattle Mariners,2023,10,10,50.0,4,1,5.22,1.46,34,18,55,5,6.12,3.24,3.4,5.0
669923,George Kirby,Seattle Mariners,2023,31,31,190.2,13,10,3.35,1.04,172,19,179,22,8.12,0.9,5.548387096774194,6.135483870967741
682243,Bryce Miller,Seattle Mariners,2023,25,25,131.1,8,7,4.32,1.14,119,26,124,18,8.15,1.78,4.76,5.244
596133,Luke Weaver,Seattle Mariners,2023,21,21,97.0,2,4,6.87,1.64,85,34,125,24,7.89,3.15,4.0476190476190474,4.619047619047619
693433,Bryan Woo,Seattle Mariners,2023,18,18,87.2,4,5,4.21,1.21,93,31,75,13,9.55,3.18,5.166666666666667,4.844444444444445
518397,Scott Alexander,San Francisco Giants,2023,55,8,48.1,7,3,4.66,1.37,31,11,55,2,5.77,2.05,3.875,6.0125
605154,John Brebbia,San Francisco Giants,2023,40,10,38.1,3,5,3.99,1.17,47,14,31,6,11.03,3.29,4.7,3.81
502171,Alex Cobb,San Francisco Giants,2023,28,28,151.1,7,7,3.87,1.32,131,37,163,19,7.79,2.2,4.678571428571429,5.396428571428571
543101,Anthony DeSclafani,San Francisco Giants,2023,19,18,99.2,4,8,4.88,1.25,79,20,105,15,7.13,1.81,4.388888888888889,5.511111111111111
690986,Kyle Harrison,San Francisco Giants,2023,7,7,34.2,1,1,4.15,1.15,35,11,29,8,9.09,2.86,5.0,4.885714285714286
640455,Sean Manaea,San Francisco Giants,2023,37,10,117.2,7,6,4.44,1.24,128,42,104,14,9.79,3.21,12.8,11.72
548389,Ross Stripling,San Francisco Giants,2023,22,11,89.0,0,5,5.36,1.35,70,16,104,20,7.08,1.62,6.363636363636363,8.090909090909092
676254,Ryan Walker,San Francisco Giants,2023,49,13,61.1,5,3,3.23,1.39,78,24,61,8,11.45,3.52,6.0,4.7
657277,Logan Webb,San Francisco Giants,2023,33,33,216.0,11,13,3.25,1.07,194,31,201,20,8.08,1.29,5.878787878787879,6.545454545454546
676775,Keaton Winn,San Francisco Giants,2023,9,5,42.1,1,3,4.68,1.04,35,8,36,6,7.44,1.7,7.0,8.42
622072,Alex Wood,San Francisco Giants,2023,29,12,97.2,5,5,4.33,1.43,74,42,98,9,6.82,3.87,6.166666666666667,8.1
656427,Jack Flaherty,St. Louis Cardinals,2023,20,20,109.2,7,6,4.43,1.55,106,54,116,10,8.7,4.43,5.3,5.46
641712,Dakota Hudson,St. Louis Cardinals,2023,18,12,81.1,6,3,4.98,1.5,45,34,88,9,4.98,3.76,3.75,6.758333333333333
669461,Matthew Liberatore,St. Louis Cardinals,2023,22,11,61.2,3,6,5.25,1.48,46,25,66,5,6.71,3.65,4.181818181818182,5.5636363636363635
571927,Steven Matz,St. Louis Cardinals,2023,25,17,105.0,4,7,3.86,1.33,98,32,108,11,8.4,2.74,5.764705882352941,6.176470588235294
571945,Miles Mikolas,St. Louis Cardinals,2023,35,35,201.1,9,13,4.78,1.32,137,39,226,26,6.12,1.74,3.914285714285714,5.7457142857142856
656756,Jordan Montgomery,St. Louis Cardinals,2023,21,21,121.0,6,9,3.42,1.25,108,35,116,12,8.03,2.6,5.142857142857143,5.761904761904762
680723,Drew Rom,St. Louis Cardinals,2023,8,8,33.2,1,4,8.02,2.08,32,19,51,7,8.55,5.08,4.0,4.15
668868,Zack Thompson,St. Louis Cardinals,2023,25,9,66.1,5,7,4.48,1.42,72,25,69,8,9.77,3.39,8.0,7.344444444444444
425794,Adam Wainwright,St. Louis Cardinals,2023,21,21,101.0,5,11,7.4,1.9,55,41,151,20,4.9,3.65,2.619047619047619,4.809523809523809
663765,Jake Woodford,St. Louis Cardinals,2023,15,8,47.2,2,3,6.23,1.74,29,22,61,11,5.48,4.15,3.625,5.9
502624,Chase Anderson,Tampa Bay Rays,2023,17,17,81.1,1,6,5.75,1.48,62,32,88,17,6.86,3.54,3.6470588235294117,4.770588235294118
542888,Shawn Armstrong,Tampa Bay Rays,2023,39,6,52.0,1,0,1.38,0.9,54,11,36,2,9.35,1.9,9.0,8.666666666666666
656222,Jalen Beeks,Tampa Bay Rays,2023,30,8,42.1,2,3,5.95,1.49,47,21,42,4,9.99,4.46,5.875,5.2625
