year,team_id,team_name,team_abbr,BA,OBP,SLG,R,H,HR,BB_hit,SO_hit,SB,OPS,ERA,WHIP,SO_pitch,BB_pitch,RA,SV
2025,133,Athletics,ATH,0.253,0.318,0.431,733,1403,219,502,1406,80,.749,4.7,1.36,1323,570,817,35
2025,134,Pittsburgh Pirates,PIT,0.231,0.305,0.35,583,1244,117,530,1422,115,.655,3.76,1.22,1314,473,645,36
2025,135,San Diego Padres,SD,0.252,0.321,0.39,702,1369,152,510,1161,106,.711,3.63,1.21,1425,535,621,49
2025,136,Seattle Mariners,SEA,0.244,0.32,0.42,766,1345,238,544,1446,161,.740,3.87,1.22,1426,454,694,43
2025,137,San Francisco Giants,SF,0.235,0.311,0.386,705,1261,173,556,1380,68,.697,3.82,1.3,1358,506,684,41
2025,138,St. Louis Cardinals,STL,0.245,0.314,0.379,689,1331,148,478,1321,89,.693,4.29,1.32,1209,461,754,42
2025,139,Tampa Bay Rays,TB,0.251,0.313,0.401,714,1374,182,468,1397,194,.714,3.94,1.22,1416,474,683,35
2025,140,Texas Rangers,TEX,0.234,0.302,0.381,684,1275,175,486,1327,134,.683,3.47,1.18,1344,463,605,37
2025,141,Toronto Blue Jays,TOR,0.265,0.333,0.427,798,1461,191,520,1099,77,.760,4.19,1.27,1430,517,721,42
2025,142,Minnesota Twins,MIN,0.238,0.31,0.397,678,1295,191,495,1372,114,.707,4.55,1.31,1372,459,773,28
2025,143,Philadelphia Phillies,PHI,0.258,0.328,0.431,778,1426,212,528,1337,124,.759,3.79,1.23,1471,435,648,47
2025,144,Atlanta Braves,ATL,0.245,0.32,0.399,724,1349,190,575,1371,82,.719,4.36,1.31,1416,530,734,34
2025,145,Chicago White Sox,CWS,0.232,0.302,0.373,647,1250,165,498,1364,85,.675,4.26,1.36,1286,595,742,25
2025,146,Miami Marlins,MIA,0.25,0.314,0.393,709,1388,154,482,1247,138,.707,4.6,1.3,1294,507,798,40
2025,147,New York Yankees,NYY,0.251,0.332,0.455,849,1371,274,639,1463,134,.787,3.91,1.25,1440,557,685,43
2025,158,Milwaukee Brewers,MIL,0.258,0.332,0.403,806,1423,166,564,1266,164,.735,3.58,1.23,1432,534,634,45
2025,108,Los Angeles Angels,LAA,0.225,0.298,0.397,673,1209,226,484,1627,88,.695,4.89,1.43,1280,620,837,38
2025,109,Arizona Diamondbacks,AZ,0.251,0.325,0.433,791,1377,214,545,1316,121,.758,4.49,1.32,1288,500,785,42
2025,110,Baltimore Orioles,BAL,0.235,0.305,0.394,677,1273,191,484,1457,121,.699,4.6,1.37,1351,523,788,38
2025,111,Boston Red Sox,BOS,0.254,0.324,0.421,786,1414,186,518,1419,139,.745,3.7,1.29,1361,530,676,45
2025,112,Chicago Cubs,CHC,0.249,0.32,0.43,793,1371,223,554,1277,161,.750,3.79,1.18,1265,405,649,44
2025,113,Cincinnati Reds,CIN,0.245,0.315,0.391,716,1333,167,527,1415,105,.706,3.86,1.22,1380,494,681,41
2025,114,Cleveland Guardians,CLE,0.226,0.296,0.373,643,1199,168,494,1344,129,.669,3.7,1.26,1381,527,649,47
2025,115,Colorado Rockies,COL,0.237,0.293,0.386,597,1281,160,395,1531,87,.679,5.97,1.58,1093,554,1021,29
2025,116,Detroit Tigers,DET,0.247,0.316,0.413,758,1346,198,511,1454,61,.729,3.95,1.25,1375,485,691,40
2025,117,Houston Astros,HOU,0.25,0.315,0.399,686,1372,182,471,1301,85,.714,3.86,1.22,1504,508,665,45
2025,118,Kansas City Royals,KC,0.247,0.309,0.397,651,1342,159,435,1096,111,.706,3.73,1.24,1271,478,637,47
2025,119,Los Angeles Dodgers,LAD,0.253,0.327,0.441,825,1384,244,580,1353,88,.768,3.95,1.26,1505,563,683,46
2025,120,Washington Nationals,WSH,0.242,0.304,0.389,687,1313,161,443,1351,132,.693,5.35,1.45,1248,566,899,37
2025,121,New York Mets,NYM,0.249,0.326,0.427,766,1359,224,563,1325,147,.753,4.03,1.32,1387,556,715,40
